,Country,DemoK_4,DemoK_8,DemoK_16,DemoK_32,DemoSpec_16,DemoSpec_32,SocietyK_4,SocietyK_8,SocietyK_16,SocietyK_32,SocietySpec_16,SocietySpec_32,ClimateK_4,ClimateK_8,ClimateK_16,ClimateSpec_16,ClimateSpec_32,ClimateSpec_64,EconomyK_4,EconomyK_8,EconomyK_16,EconomySpec_8,EconomySpec_16,EconomySpec_32,ReligionK_4,ReligionK_8,ReligionK_16,ReligionSpec_16,ReligionSpec_32,ReligionSpec_64,LanguageK_4,LanguageK_8,LanguageSpec_16,LanguageSpec_64,LanguageDBS_3,LanguageDBS_4
198,Serranilla Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Seychelles,1.0,1.0,7.0,23.0,14.0,31.0,2.0,4.0,11.0,3.0,4.0,7.0,1.0,5.0,7.0,9.0,5.0,2.0,0.0,0.0,13.0,6.0,6.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,5.0,17.0,,
200,Siachen Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Sierra Leone,2.0,2.0,13.0,15.0,1.0,1.0,1.0,2.0,13.0,10.0,3.0,4.0,1.0,2.0,10.0,12.0,1.0,57.0,0.0,3.0,11.0,5.0,5.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,9.0,49.0,,3.0
202,Singapore,1.0,3.0,9.0,11.0,12.0,12.0,2.0,5.0,0.0,12.0,1.0,29.0,1.0,5.0,0.0,11.0,7.0,9.0,2.0,5.0,9.0,7.0,8.0,26.0,0.0,0.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,,
203,Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Slovakia,1.0,3.0,2.0,26.0,15.0,12.0,2.0,1.0,9.0,20.0,10.0,1.0,3.0,1.0,5.0,8.0,2.0,3.0,2.0,6.0,6.0,6.0,12.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,15.0,59.0,,
205,Slovenia,1.0,3.0,12.0,19.0,5.0,15.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,5.0,8.0,2.0,3.0,2.0,6.0,6.0,6.0,2.0,13.0,0.0,0.0,12.0,2.0,28.0,37.0,0.0,6.0,3.0,63.0,,
206,Solomon Islands,2.0,7.0,3.0,14.0,11.0,8.0,,,,,,,1.0,5.0,11.0,3.0,28.0,5.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,8.0,7.0,3.0
207,Somalia,2.0,6.0,1.0,3.0,3.0,28.0,1.0,2.0,3.0,13.0,6.0,8.0,0.0,4.0,14.0,5.0,14.0,47.0,0.0,3.0,14.0,4.0,5.0,19.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,,2.0
208,Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,7.0,39.0,,
209,South Africa,0.0,1.0,14.0,7.0,0.0,20.0,0.0,3.0,15.0,21.0,15.0,28.0,2.0,0.0,9.0,1.0,11.0,57.0,0.0,0.0,7.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,54.0,1.0,4.0,10.0,32.0,,
210,South Georgia and South Sandwich Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,South Korea,1.0,3.0,12.0,26.0,15.0,12.0,2.0,5.0,0.0,12.0,1.0,29.0,3.0,1.0,5.0,8.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,3.0,1.0,15.0,,
212,South Sudan,2.0,2.0,4.0,28.0,11.0,8.0,1.0,2.0,13.0,10.0,3.0,4.0,0.0,4.0,3.0,5.0,30.0,47.0,0.0,3.0,11.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,20.0,7.0,3.0
213,Spain,1.0,3.0,12.0,19.0,5.0,15.0,2.0,5.0,5.0,2.0,11.0,5.0,3.0,1.0,4.0,14.0,3.0,13.0,2.0,5.0,6.0,6.0,2.0,13.0,0.0,7.0,12.0,2.0,24.0,38.0,2.0,2.0,6.0,12.0,2.0,0.0
214,Spratly Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Sri Lanka,1.0,1.0,8.0,20.0,0.0,12.0,2.0,4.0,0.0,17.0,1.0,29.0,0.0,2.0,3.0,12.0,30.0,7.0,0.0,0.0,10.0,2.0,4.0,8.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,6.0,3.0,60.0,,
216,Sudan,2.0,2.0,11.0,15.0,11.0,8.0,3.0,0.0,6.0,11.0,12.0,6.0,0.0,4.0,14.0,5.0,14.0,47.0,0.0,3.0,11.0,5.0,5.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,4.0,7.0,20.0,7.0,3.0
